,Type,Developer,Smell,Folds,Criterion,Max_Depth,Max_Leaf_Nodes,Min_Samples_Leaf,Min_Samples_Split,Tree,Accuracy,Precision,Recall,Fmeasure
11,Type,81,MM,5,gini,,,5,2,"if ( CountClassCoupled <= 2.5 ) {    if ( AvgLineComment <= 0.5 ) {        return False ( 5 examples )    }
    else {        return False ( 4 examples )        return True ( 1 examples )    }}
else {    return False ( 1 examples )    return True ( 4 examples )}",0.7333333333333333,0.4666666666666666,0.6,0.5
12,Type,19,DCL,5,gini,,,1,2,"if ( WOC <= 0.10000000149 ) {    if ( RFC <= 21.0 ) {        return True ( 7 examples )    }
    else {        return False ( 1 examples )    }}
else {    return False ( 7 examples )}",0.7666666666666666,0.6666666666666666,0.8,0.72
13,Type,2,DCL,5,gini,,,1,2,"if ( AvgLine <= 6.90500020981 ) {    return True ( 8 examples )}
else {    if ( RFC <= 35.5 ) {        return False ( 6 examples )    }
    else {        return True ( 1 examples )    }}",0.7666666666666666,0.8,0.8,0.8
14,Type,77,DCL,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
15,Type,18,DCL,5,gini,,,1,2,"if ( AvgLine <= 10.7600002289 ) {    return True ( 11 examples )}
else {    return False ( 4 examples )}",0.8666666666666666,0.9333333333333332,0.9,0.8933333333333333
16,Type,22,DCL,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
17,Type,93,DCL,5,gini,,,1,10,"if ( CFNAMM <= 0.5 ) {    return True ( 7 examples )}
else {    return False ( 7 examples )    return True ( 1 examples )}",0.85,0.9,0.9,0.8666666666666666
18,Type,17,DCL,5,gini,,,5,2,"if ( RFC <= 22.0 ) {    return False ( 1 examples )    return True ( 8 examples )}
else {    return False ( 5 examples )    return True ( 1 examples )}",0.6833333333333333,0.7333333333333333,0.7,0.6933333333333334
19,Type,27,DCL,5,gini,,,1,2,"if ( WMCNAMM <= 2.5 ) {    return True ( 4 examples )}
else {    if ( RFC <= 7.5 ) {        return True ( 1 examples )    }
    else {        return False ( 10 examples )    }}",0.8666666666666666,0.6,0.6,0.6
20,Type,86,DCL,5,gini,,,1,2,"if ( AMW <= 1.04999995232 ) {    return True ( 8 examples )}
else {    if ( RFC <= 13.5 ) {        return True ( 1 examples )    }
    else {        return False ( 6 examples )    }}",0.7499999999999999,0.8666666666666666,0.8,0.7866666666666666
21,Type,104,DCL,5,gini,,,1,2,"if ( AMW <= 1.04999995232 ) {    return True ( 8 examples )}
else {    if ( RFC <= 13.5 ) {        return True ( 1 examples )    }
    else {        return False ( 6 examples )    }}",0.7499999999999999,0.8666666666666666,0.8,0.7866666666666666
